StoreNum,PLU,Dept,SubDept,Category,Item,Retail,TPR,Sale
6,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
9,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
10,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
11,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
12,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
14,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
17,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
18,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
19,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
20,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
21,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
22,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
24,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
2,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
3,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
6,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
9,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
10,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
11,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
12,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
14,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
17,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
18,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
19,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
20,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
21,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
22,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
24,0000000000004,31,9980,,"TICKETS REGINE ",0.00,NULL,NULL
2,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
3,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
6,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
9,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
10,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
11,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
12,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
14,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
17,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
18,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
19,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
20,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
21,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
22,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
24,0000000000049,70,9970,,IP Reusable Bag 200/cs,0.10,NULL,NULL
2,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
3,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
6,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
9,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
10,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
11,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
12,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
14,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
17,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
18,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
19,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
20,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
21,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
22,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
24,0000000000049,65,9965,,GROCERY BAG 1 PC,0.10,NULL,NULL
